Start Time,End Time,Sentence,Translation,Emotion
"00:01:48,000","00:01:51,000",In middel is rijden de burrelkaar behoorlijk in de wielen.,In the middle is driving the burrelkaar quite in the wheels.,happiness
"00:01:51,000","00:01:55,000",En dus is het de hoogste tijd dat meest de viseren ik afrijzen naar Gorkum.,And so it's high time most of the fishes I ascend to Gorkum.,anger
"00:01:55,000","00:01:59,000",Om voor één zin van altijd een einde te maken aan dit parkeerje vaart.,To put an end to this car park for one sentence of always.,surprise
"00:02:14,000","00:02:17,000","Dit is mijn prachtig huis, alle mamoispumpetjes.","This is my beautiful house, all the mamois pumps.",surprise
"00:02:17,000","00:02:22,000",We wonen net zijn plozie maar één probleem de burren van dikket.,"We just moved in on his plozie, but one problem is the burns of thick.",neutral
"00:02:26,000","00:02:30,000",We wonen hier met heel veel plezier met onze hondjes en ons gezin.,We live here with great pleasure with our dogs and our family.,surprise
"00:02:30,000","00:02:37,000",Alleen ons wongenot wordt enorm vergaald door het constante gezeur van ons buurvrouw.,The constant whining of our neighbor is killing only our winner.,happiness
"00:02:37,000","00:02:39,000","Kijk, hier gaat het om.","Look, here's the thing.",neutral
"00:02:39,000","00:02:44,000","Ik heb twee auto's achter de bronkaar, maar de burren beschijkt aan hier dus ze blijven de gewoonbe doorgaan.","I've got two cars behind the source, but the burns look like they're here, so they keep going the usual.",neutral
"00:02:44,000","00:02:48,000",Hier is je parkeervraak en dat steekt over.,"Here's your parking spot, and it's crossed.",neutral
"00:02:50,000","00:02:54,000",De buurvrouw heeft hier altijd wat te zura over het parkeerde.,The neighbor always has a bit of a zura here about the parking lot.,happiness
"00:02:54,000","00:02:59,000",Wij pekenren netjes voor onze eigen deur op onze eigen oprit langs de hech.,We peek neatly in front of our own door in our own driveway along the hech.,neutral
"00:02:59,000","00:03:03,000",Niemand heeft er last van alleen zij.,They're the only ones that's bothering anyone.,neutral
"00:03:04,000","00:03:08,000","Ik ga hier achteruit rijden, maar wat gebeurt er?","I'm going to reverse here, but what's happening?",anger
"00:03:08,000","00:03:11,000",Ik ga er echter schuld als ik burpen ga maken.,But I'm gonna be guilty of burping.,anger
"00:03:11,000","00:03:15,000",Maar vrouw geeft aan dat ze ging ruimte genoeg heeft om uit te rijden.,But woman says she's got plenty of room to drive.,neutral
"00:03:15,000","00:03:18,000",Maar kijk eens hoe verruimte je hebt.,But look how space you've got.,neutral
"00:03:19,000","00:03:24,000",Wat gaat er gebeuren als ik schalderij tegen het eindelfte ander?,What's gonna happen if I scream at the other end?,neutral
"00:03:24,000","00:03:26,000",Godverdomer.,Fucking hell.,disgust
"00:03:26,000","00:03:29,000","Nou, ik schalder.","Well, I'm squealing.",neutral
"00:03:29,000","00:03:32,000","Dankjes, het is wel een beeld van de buurvrouw.","Thanks, it's a statue of the neighbor.",surprise
"00:03:34,000","00:03:36,000",Godverdomer.,Fucking hell.,disgust
"00:03:36,000","00:03:41,000","Ja, het is wel een auto, maar ze zijn van de buurvrouw in plaats van de bankje.","Yeah, it's a car, but it belongs to the neighbor instead of the bench.",neutral
"00:03:41,000","00:03:45,000","De discussie of iemand wel of niet kan rijden, ligt niet bij mij, maar bij het CBR.","The discussion as to whether or not someone can drive is not with me, but with the CBR.",neutral
"00:03:45,000","00:03:48,000",En misschien kan ik de vrankfissor daar ook advies geven.,And maybe I can give the vrankfissor some advice there too.,neutral
"00:03:58,000","00:04:02,000","Nou, we zijn er dan in Gorken.","Well, we'll be there in Gorken.",neutral
"00:04:02,000","00:04:05,000","Ik hoop dat ik hier mag staan, dat hier goed geparkeerd is.","I hope I'm allowed to stand here, which is well parked here.",surprise
"00:04:05,000","00:04:08,000","En dan heb ik hier een probleem, ligt nogal gevoelig.","And then I have a problem here, it's a bit sensitive.",neutral
"00:04:08,000","00:04:10,000",Is even kijken waar we zijn.,Let's see where we are.,neutral
"00:04:10,000","00:04:13,000",Daarin doe ik op nummer 15 daarom het ooghaam met haar gezin.,That's why I'm on number 15. That's why I'm eyeballing her family.,neutral
"00:04:13,000","00:04:15,000",En dat zijn dan de gepakkede auto's.,And those are the cars.,happiness
"00:04:15,000","00:04:21,000","En Tony, die woont daar op nummer 11 en die heeft een hele kleine, fijne handzame mobiele.","And Tony, he lives there at number 11 and he has a very small, fine handy mobile.",surprise
"00:04:21,000","00:04:24,000",Is die eens op de koffie?,Is it even on coffee?,neutral
"00:04:24,000","00:04:28,000","Ja, hij zegt dat er ruimte genoeg is voor iedereen.","Yeah, he says there's room for everyone.",neutral
"00:04:28,000","00:04:31,000",In Amsterdam zijn ze de stikje roer op.,"In Amsterdam, they're all fucked up.",neutral
"00:04:31,000","00:04:33,000",Dat heb ik daar hier 5 uur op een uur.,That's what I've got here five hours in an hour.,neutral
"00:04:33,000","00:04:34,000",Godverdomer.,Fucking hell.,disgust
"00:04:34,000","00:04:36,000","Ik hoop wel, dat vind ik wel.","I hope so, I do.",surprise
"00:04:36,000","00:04:37,000",Viktor.,Viktor.,neutral
"00:04:37,000","00:04:38,000","Ja, die ken je wel.","Yeah, you know him.",neutral
"00:04:38,000","00:04:39,000","Tony, hè?","Tony, huh?",neutral
"00:04:39,000","00:04:41,000",Ik ken het programma.,I know the program.,neutral
"00:04:41,000","00:04:42,000",Ik heb het gelukkig.,I'm happy.,surprise
"00:04:42,000","00:04:43,000",Dan weet u waar u aan begint.,Then you know what you're getting at.,neutral
"00:04:43,000","00:04:44,000",Ja.,Yeah.,neutral
"00:04:44,000","00:04:45,000",En komt u een stapje naar voren?,And will you step forward?,neutral
"00:04:45,000","00:04:46,000",Ja.,Yeah.,neutral
"00:04:46,000","00:04:50,000",Want ik zou eigenlijk gelijk met u naar de plek deze onheilst willen.,'Cause I'd really like to take you to the place this mischief.,neutral
"00:04:50,000","00:04:53,000",Want ik kom natuurlijk kletsen over het parkeer gedoen met de buur.,"'Cause I'm here, of course, chatting about parking with the neighbor.",happiness
"00:04:53,000","00:04:54,000","Ja, dat.","Yeah, that.",neutral
"00:04:54,000","00:04:56,000","Nou, loopt u dan gelijk, maar met mij mee?","Well, are you right, but with me?",neutral
"00:04:56,000","00:04:59,000","Nou, dit is mijn pekervak.","Well, this is my pecking hole.",neutral
"00:04:59,000","00:05:00,000",Dit is hoe een pekervak.,This is what a pecking hole is.,disgust
"00:05:00,000","00:05:03,000","Dat is mijn eigen noem, dat is mijn pekervak.","That's my own name, that's my pecking field.",neutral
"00:05:03,000","00:05:06,000",Wat is nou het probleem met het parkeer van de buur?,What's the problem with parking next door?,neutral
"00:05:06,000","00:05:08,000","Nou, een pekervak.","Well, it's a pecking hole.",neutral
"00:05:08,000","00:05:10,000",Dat is daar ook waarin de peel.,That's right there in the pelt.,disgust
"00:05:10,000","00:05:13,000","Dus daar niet van iets peen in de protecte parkeer, hè?","So that doesn't mean anything to you in the protected parking lot, does it?",neutral
"00:05:13,000","00:05:17,000",Dus eigenlijk zegt u het parkeervak van de buuren.,So basically you're saying the parking lot of the neighbors.,neutral
"00:05:17,000","00:05:18,000",Loopt.,Running.,neutral
"00:05:18,000","00:05:19,000","Tot aan de peen, tot hier?","Up to the pee-pee, up to here?",neutral
"00:05:19,000","00:05:20,000",Ja.,Yeah.,neutral
"00:05:20,000","00:05:21,000",Ja.,Yeah.,neutral
"00:05:21,000","00:05:23,000",En ze steken er overheen.,And they're sticking over it.,neutral
"00:05:23,000","00:05:25,000","Ja, als u erin dan nou van doet.","Yeah, if you're into it.",neutral
"00:05:25,000","00:05:27,000",Dat kan er niet nog mee zijn.,That can't be the end of it.,fear
"00:05:27,000","00:05:28,000",Het plaats komen goed.,The place is gonna be okay.,surprise
"00:05:28,000","00:05:33,000","Het probleem is, dat vind ik zeer erg leuk.","The problem is, I like that a lot.",surprise
"00:05:33,000","00:05:36,000",Wij pekenen netjes op ons eigen pekervak.,We're being neat on our own pecking field.,neutral
"00:05:36,000","00:05:39,000",En die familie denkt als we meer recht hebben.,And that family thinks when we have more right.,neutral
"00:05:39,000","00:05:43,000","Ik sta op de twee auto's, als ik daar waar ik last zamep.",I'll be parked on the two cars when I get there where I'm bothering.,neutral
"00:05:43,000","00:05:45,000",Hoe steik?,How prickly?,neutral
"00:05:45,000","00:05:48,000","Ja, dit is niet goed, hè?","Yeah, this is bad, isn't it?",fear
"00:05:48,000","00:05:49,000","Dit mag niet, eigenlijk.","This isn't supposed to happen, really.",happiness
"00:05:49,000","00:05:50,000","Nee, nee.","No, no.",happiness
"00:05:50,000","00:05:52,000",Ik woon dat niet.,I don't live that way.,fear
"00:05:52,000","00:05:53,000",Wat mag dat niet?,What's not to like?,neutral
"00:05:53,000","00:05:57,000","Nee, omdat je een ander overlast kan geven.","No, because you can cause another nuisance.",happiness
"00:05:57,000","00:06:02,000",Je hebt de regelninter en ze zijn ook toen heel opgesteld.,"You've got the ruleninter, and they're all set up at the time.",happiness
"00:06:02,000","00:06:06,000","En daar teken je voor de eco-pak, dan die je daar aan het houden.","And that's where you sign for the eco-suit, then that's where you're keeping it.",neutral
"00:06:06,000","00:06:08,000","Ik hoor het al, u bent wel een beetje streng.",I hear you're being a little harsh.,happiness
"00:06:08,000","00:06:11,000","Nee, je moet het doen zoals de toren.","No, you have to do it like the tower.",happiness
"00:06:11,000","00:06:14,000","Als je tijd dat doet, dan mag het niet.","If you do that time, you can't.",happiness
"00:06:14,000","00:06:16,000",En dan geef u je het overlast.,And then you give the nuisance.,happiness
"00:06:16,000","00:06:17,000",Anders worden de zoiets.,"Otherwise, they're gonna be something like that.",neutral
"00:06:17,000","00:06:18,000",Ja.,Yeah.,neutral
"00:06:18,000","00:06:22,000",Zullen we daar boven met een kopje koffie even verder overkletsen?,Why don't we go up there and have a cup of coffee and talk some more about it?,neutral
"00:06:22,000","00:06:23,000","Ja, dus prima.","Yeah, so fine.",surprise
"00:06:23,000","00:06:25,000","Heeft u er ook iets bij, iets lekker?",Do you have anything on it? Something delicious?,neutral
"00:06:25,000","00:06:26,000",Ja.,Yeah.,neutral
"00:06:26,000","00:06:28,000","Ja, oh, de gamen.","Yeah, oh, the gaming.",disgust
"00:06:28,000","00:06:29,000","Nou, de gamen.","Well, the gaming.",neutral
"00:06:29,000","00:06:40,000","Nou, Tony, ik moet het zelf goed om hen kijken.","Well, Tony, I have to take a good look at them myself.",neutral
"00:06:40,000","00:06:43,000",U woont een beetje in uw eigen broccante museum.,You live a bit in your own Broccan museum.,neutral
"00:06:43,000","00:06:46,000","Ja, als je dat zo vindt, dat mag dan.","Yeah, if that's how you feel, it's okay.",neutral
"00:06:46,000","00:06:48,000",Waar heeft u al die spullen vandaag gehad?,Where did you get all that stuff today?,neutral
"00:06:48,000","00:06:50,000","Ja, aan mijn verzamelen.","Yeah, to collect me.",neutral
"00:06:50,000","00:06:51,000",Dat geert het geluid.,That's the sound.,happiness
"00:06:51,000","00:06:53,000",En hoe lang woont u hier al?,And how long have you lived here?,neutral
"00:06:53,000","00:06:55,000",21 jaar.,Twenty-one years old.,neutral
"00:06:55,000","00:06:56,000",21 jaar.,Twenty-one years old.,neutral
"00:06:56,000","00:06:57,000",Ja.,Yeah.,neutral
"00:06:57,000","00:06:58,000",Goedemorgen.,Good morning.,neutral
"00:06:58,000","00:06:59,000",Dankjewel.,Thank you.,surprise
"00:06:59,000","00:07:00,000",Dankjewel.,Thank you.,surprise
"00:07:00,000","00:07:03,000",En hoe lang woont u er al?,And how long have you lived there?,neutral
"00:07:03,000","00:07:04,000",Van af 2020.,From 2020.,neutral
"00:07:04,000","00:07:09,000",En hoe was dat contact met de buren in het begin?,And how was that contact with the neighbors at first?,neutral
"00:07:09,000","00:07:11,000","Nou, dat was goed.","Well, that was good.",surprise
"00:07:11,000","00:07:14,000","Dat was goed, dat was goed, dat was goed, dat was goed, dat was goed.","That was good, that was good, that was good, that was good, that was good.",surprise
"00:07:14,000","00:07:17,000",En toen was het koffie drinken.,And then it was coffee.,neutral
"00:07:17,000","00:07:18,000","Oké, dat is opzicht toch.","Okay, that's the point.",neutral
"00:07:18,000","00:07:19,000",We waren heel vriendelijk.,We were very kind.,surprise
"00:07:19,000","00:07:20,000",Ja.,Yeah.,neutral
"00:07:20,000","00:07:23,000",Maar waarom vond u het dan toch niet zo leuk?,Then why didn't you like it so much?,neutral
"00:07:23,000","00:07:25,000",Want ik zie aan u dat u het niet zo leuk vond.,'Cause I can tell from you that you didn't like it very much.,fear
"00:07:25,000","00:07:29,000","Nee, want dan wij niet houden van elke keer, maar bij elkaar koffie drinken.","No, because then we don't like each time, but drink coffee together.",surprise
"00:07:29,000","00:07:32,000","Oké, want ze nodigde u vaker uit.","Okay, because she invited you more often.",neutral
"00:07:32,000","00:07:35,000","Ja, dat vroeg heelke weer ik eet terug.","Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah.",neutral
"00:07:35,000","00:07:37,000","Ja, dan zo gaat het dan.","Yeah, that's how it goes.",neutral
"00:07:37,000","00:07:39,000",En voordat je het weet bij je dikke vrienden met je buren.,"And before you know it, with your fat friends with your neighbors.",neutral
"00:07:39,000","00:07:41,000",Dat had u reest in ieder geval.,"Well, at least that's what you had.",neutral
"00:07:41,000","00:07:42,000",Nee.,No.,neutral
"00:07:42,000","00:07:43,000",Ja.,Yeah.,neutral
"00:07:43,000","00:07:47,000",Op een gegeven moment is het gedoe over het pakkeer om staan.,"At some point, it's the whole pack-up thing about standing around.",fear
"00:07:47,000","00:07:48,000",Ja.,Yeah.,neutral
"00:07:48,000","00:07:49,000",Wat neer was dat ongeveer?,What down was that about?,neutral
"00:07:49,000","00:07:52,000","Nou, nou, eenig tijd.","Well, well, for a while.",neutral
"00:07:52,000","00:07:55,000","Ja, dat is een entraptie van de auto.","Yeah, that's an escape from the car.",happiness
"00:07:55,000","00:07:57,000",Het is gewoon vader van de buur van.,It's just a father of the neighbor's.,neutral
"00:07:57,000","00:08:00,000","Oké, die kwam hier zo'n auto pakkeer.","Okay, he came here with a car pack.",neutral
"00:08:00,000","00:08:05,000","Ja, en toen de tafder, de dochten daar achter elkaar staan.","Yeah, and then the taffer, the wards, they're on the same side.",neutral
"00:08:05,000","00:08:08,000","Oké, dus de hele familie stalt regelmatig.","Okay, so the whole family's a regular stalker.",surprise
"00:08:08,000","00:08:09,000",De auto's.,The cars.,neutral
"00:08:09,000","00:08:11,000","Ja, twee achter elkaar.","Yeah, two in a row.",neutral
"00:08:11,000","00:08:14,000","Ja, en is het daarbij gebleven bij de auto's?","Yeah, and that's what it was all about with the cars?",neutral
"00:08:14,000","00:08:15,000","Nee, dat is een gat.","No, that's a hole.",fear
"00:08:15,000","00:08:16,000",Ik heb het ook niet.,I don't have it either.,neutral
"00:08:16,000","00:08:17,000",Hij mag meer ruimte nemen.,He gets to take more space.,neutral
"00:08:17,000","00:08:19,000",Dus het is nog breder.,So it's even wider.,neutral
"00:08:19,000","00:08:22,000","Eentje voor een week, en je over 1,6 week Amerika.","One for a week, and you'll be in six and a half weeks of America.",neutral
"00:08:22,000","00:08:23,000",Een man.,A man.,neutral
"00:08:23,000","00:08:24,000",Een man moet.,A man must.,neutral
"00:08:24,000","00:08:26,000","Nou, dat zeg genoeg.","Well, that's enough.",neutral
"00:08:26,000","00:08:27,000","Ja, zeg.","Oh, yeah.",neutral
"00:08:27,000","00:08:29,000",En waar kwam hij te staan?,And where did he stand?,neutral
"00:08:29,000","00:08:31,000","Ja, op de pakkeervak natuurlijk.","Yeah, on the package box, of course.",neutral
"00:08:31,000","00:08:35,000","Kijk, hier is hier pakkeervak.","Look, here's the package.",neutral
"00:08:35,000","00:08:38,000",Dus hij stijk hier vandaan over.,So he's stifling from here.,neutral
"00:08:38,000","00:08:42,000","Hier, ik weet niet hoeveel.","Here, I don't know how much.",neutral
"00:08:50,000","00:08:53,000","Ja, dat is zo'n beetje twijtig.","Yeah, that's kind of weird.",fear
"00:08:53,000","00:08:55,000",Het is hier oversteek.,It's across here.,neutral
"00:08:57,000","00:08:59,000",En heeft u daadweld?,And have you acted?,neutral
"00:08:59,000","00:09:01,000","Wat van gezegd van, die camper moet weg?",What about getting rid of that RV?,neutral
"00:09:01,000","00:09:02,000","Ja, natuurlijk.","Yes, of course.",neutral
"00:09:02,000","00:09:03,220",Bij de volzitter van de V,By the All-Veaceful.,neutral
"00:09:03,220","00:09:06,000",Jij heeft beredengeschreven met foto's te bij.,You've been writing pictures too.,neutral
"00:09:06,000","00:09:08,000",Maar dat doet u niet rechtstreeks?,But you don't do that directly?,neutral
"00:09:08,000","00:09:10,000","Nee, want ze scheld mevrouwt.","No, because she's yelling at the lady.",happiness
"00:09:11,000","00:09:12,000",Toetsen dat?,Hit that?,neutral
"00:09:12,000","00:09:16,000","Zij hebben al vijf keer dood gewid, zik moest, maar dood.","They've swiped to death five times, zik had to, but dead.",surprise
"00:09:16,000","00:09:17,000",Zegden dat?,Did you say that?,neutral
"00:09:17,000","00:09:18,000",Ja.,Yeah.,neutral
"00:09:18,000","00:09:45,000",En wanneer was dat dan?,And when was that?,neutral
"00:09:45,000","00:09:50,000","Ja, toen ze aanzacht komen, denk je, zo toen dacht ik pot verdoorden, dat heb je ze weer.","Yeah, when they come soft, you think, 'cause that's when I thought they'd slip away, 'cause that's what you've got.",disgust
"00:09:50,000","00:09:52,000","En van Tony, dat is niet zo'n eetje.","And Tony, that's not that kind of food.",neutral
"00:09:52,000","00:09:54,000","Nee, dat is niet zo'n eetje, wat vij hier heet?","No, that's not one of those dinners. What's the name here?",fear
"00:09:54,000","00:09:55,000","Ja, vanstand.","Yeah, stand up.",neutral
"00:09:59,000","00:10:01,000","Dat is niet zo'n eetje, denk ik, heer ja.","It's not that kind of food, I think, sir.",fear
"00:10:01,000","00:10:06,000","Maar je bent toch wel eens kees aan het als je bij leefsijdt, heb je hem bij weg geweest,","But you've got to be kidding me when you're alive, you've been away from him.",neutral
"00:10:06,000","00:10:09,000",moet je altijd een donige plaschen doen dat ze thuis komen.,You always have to do a donny platter to get them home.,happiness
"00:10:09,000","00:10:11,000","Dat kijk je niet daarbij, maar je weet zijn toen.","You don't look at that, but you know how it was then.",neutral
"00:10:11,000","00:10:13,000",Omdat ze dat in de weg gaan lopen.,Because they're gonna get in the way.,neutral
"00:10:14,000","00:10:16,000",Want de buur van lopen dan echt in de weg?,'Cause the neighbor of running really gets in the way?,neutral
"00:10:16,000","00:10:19,000","Ja, dan als ik door zou rijden, zou je rijden.","Yeah, well, if I was gonna keep driving, you'd drive.",neutral
"00:10:19,000","00:10:20,000",Ja.,Yeah.,neutral
"00:10:20,000","00:10:22,000","Nou ja, dan is het scheldenscheld.","Well, then it's yelling.",happiness
"00:10:22,000","00:10:24,000","Wat roep ze dan tegen, ja, u moet het rood.","Then what do you call them, yes, you must red it.",happiness
"00:10:24,000","00:10:25,000",Maar roep ze nog meer?,But do they call for more?,neutral
"00:10:25,000","00:10:32,000","Ja, ze roep veel meer, ik luister maar halen ze wat anders ze zouden, ze dan zouden de mitten geven.","Yeah, she'd call out a lot more, I'd listen but get them something else, they'd give the mitts.",neutral
"00:10:32,000","00:10:38,000","Ik doe het die ik aan mijn beheersen, waar ik zou ze vragen, ze keren me letslanden,","I do it that I control, where I would ask them, they turn me nation,",neutral
"00:10:38,000","00:10:41,000","dat weet ze wat ik ben, ik ben geen nou ontstaat.",She knows what I am. I'm not born.,neutral
"00:10:41,000","00:10:49,000","Ik ben zei het zijn voor de vijftig, nou ik zou ze zo in elkaar, als ik me echt zou willen.","I'm told it's for the 50, now I'd beat them up, if I really wanted me.",neutral
"00:10:49,000","00:10:50,000",Meet.,Meet.,neutral
"00:10:50,000","00:10:53,000","Nou, hield u er ook nog eens?","Well, did you keep it?",neutral
"00:10:53,000","00:10:55,000","Nee, die maai leg je nog.","No, you're gonna put that mow down.",neutral
"00:10:55,000","00:10:56,000",Oh.,Oh.,disgust
"00:10:56,000","00:11:00,000",Maar hoe moe de nu allemaal verder?,But how tired are they all now?,neutral
"00:11:00,000","00:11:03,000","Ja, hoe moe de nu allemaal verder?","Yeah, how tired are they all now?",neutral
"00:11:03,000","00:11:09,000","Ik denk, niet meesterfissen, er is dat er toch wel niets gaan veranderen.","I think, not masterfiss, there's nothing that's gonna change anyway.",fear
"00:11:09,000","00:11:12,000","Ja, want wat voor dame is de buurvrouw?","Yeah, 'cause what kind of lady is the neighbor?",neutral
"00:11:12,000","00:11:18,000",Het is een heel goed mens als jij jaar aan de zeg in Prisis haar zin doet.,"He's a very good man when you've spent the past year saying, ""Pris wants to do what she wants.""",surprise
"00:11:18,000","00:11:19,000",Ongas Williswet?,Ongas Willis Act?,disgust
"00:11:19,000","00:11:21,000",Prisis.,Prisis.,neutral
"00:11:21,000","00:11:24,000","Het is de koudier, de zij gaat te lachen, ze haddele.","It's the colder, the she's gonna laugh, she had Dele.",happiness
"00:11:24,000","00:11:30,000","De buurvrouw doet poeslieve naardig, maar ook wij als de zin niet krijgen,","The neighbor makes pussy pussy pussy pussy, but even we, when we don't get the way,",happiness
"00:11:30,000","00:11:33,000",dan scheld haar ze nou die neerfiswijf.,Why don't you just call her that bitch?,happiness
"00:11:33,000","00:11:38,000","Puh, nou, het is een hele mond vol.","Puh, well, it's a whole mouthful.",disgust
"00:11:38,000","00:11:40,000",Mest vissen komt die straks naartoe?,"You're not gonna let him get away with it, are you?",neutral
"00:11:40,000","00:11:41,000",Ja.,Yeah.,neutral
"00:11:41,000","00:11:42,000",Wat is heel eis voor hem?,What's the big demand for him?,neutral
"00:11:42,000","00:11:46,000",Dat ik hem ben niet meer op het rijden mag komen.,That I'm not allowed to ride him anymore.,fear
"00:11:46,000","00:11:52,000","Dat ik niet meer uitgescholden wordt, dat ik normaal uit motorkastap erop moet, om te gelopen.","That I don't get yelled at anymore, that I normally have to get out of motor cart on it, to walk.",surprise
"00:11:52,000","00:11:55,000",En dat ze niet meer buiten hun paquervak pakkenen?,And that they don't take out of their pager box anymore?,neutral
"00:11:55,000","00:11:56,000",Ja.,Yeah.,neutral
"00:11:56,000","00:11:57,000",Ik snap het mevrouw.,"I get it, ma'am.",disgust
"00:11:57,000","00:12:00,000",Ik kom uw straks weer halen als meeste vissen onderweg is.,I'll come and get you again when most of the fish are on their way.,neutral
"00:12:00,000","00:12:03,000",Heel erg bedankt voor de lekker remerk bij Pente Koffie.,Thank you so much for the nice rebrand at Pente Coffee.,surprise
"00:12:03,000","00:12:05,000","Nou, vrij verrustig aan.","Well, quite soothing.",neutral
"00:12:05,000","00:12:07,000",Ik heb er al wat vertrouwen in je.,I've got a little faith in you there.,surprise
"00:12:07,000","00:12:08,000",Gelukkig.,"Oh, thank God.",surprise
"00:12:08,000","00:12:09,000",Hou dat vast.,Hold that.,neutral
"00:12:09,000","00:12:11,000","Ja, dat doe ik.","Yes, I do.",neutral
"00:12:11,000","00:12:12,000","Tot straks, hè.","See you later, huh?",neutral
"00:12:12,000","00:12:14,000","Nou, Pittighor.","Well, Pittighor.",neutral
"00:12:14,000","00:12:17,000","Tony is dan wel op leeftijd, maar het vuur zit er nog goed in.","Tony may be old, but the fire's still good at it.",surprise
"00:12:17,000","00:12:21,000","Je zou ook kunnen denken, jong, laat maar waar je dat pakkeer kan me heetsschelen.","You know, you might as well think, kid, just leave it where you can scoop me up.",disgust
"00:12:21,000","00:12:24,000","Maar zo zit Tony niet in elkaar, regels zijn regels.",But that's not who Tony is. Rules are rules.,happiness
"00:12:25,000","00:12:28,000",De buurvrouw zijn we een beetje de koning in van de straat zijn.,"The neighbor, we're kind of king in the street.",surprise
"00:12:28,000","00:12:31,000","Als je maar danst naar haar pijpen, naar haar meer gepijpen.","As long as you're dancing to her blowjobs, sneaking a blowjob at her lake.",happiness
"00:12:31,000","00:12:34,000",Elke vanaf twee kanten op naar de buurvrouw.,Each from two sides to the neighbor.,neutral
"00:12:41,000","00:12:42,000",Forget the dog.,Forget the dog.,surprise
"00:12:42,000","00:12:44,000",Beware of wife.,Beware of wife.,neutral
"00:12:44,000","00:12:46,000",Ja.,Yeah.,neutral
"00:12:46,000","00:12:48,000","Hoe je middag, Pittighor.","How you afternoon, Pittighor.",neutral
"00:12:48,000","00:12:49,000",Hoi.,Hi.,neutral
